league,info,,,,
EIC,no,,,,
EL U20,no,,,,
ENG CN  ,eng_national-league-north,,,,
ENG CS  ,eng_national-league-south,,,,
ENG CWCUP,no,,,,
ENG Conf ,eng_national-league,,,,
ENG FA WC  ,no,,,,
ENG FAC  ,eng_facup,,,,
ENG FAT,no,,,,
ENG FAWSL,no,,,,
ENG JPT,no,,,,
ENG JPTJ,no,,,,
ENG L1 ,eng_league-one,,,,
ENG L1PPO ,eng_league-1_playoff,,,,
ENG L2   ,eng_league-two,,,,
ENG LC   ,eng_league-cup,,,,
ENG LCH ,eng_championship,,,,
ENG PR  ,eng_premier-league,,,,
ENG RCup,no,,,,
ENG RES,no,,,,
ENG RL1,no,,,,
ENG RYM,no,,,,
ENG SD1,no,,,,
ENG U21,no,,,,
ENG U21D2,no,,,,
ENG U21LC,no,,,,
ENG U21Off,no,,,,
ENG U21off,no,,,,
ENG UD1,no,,,,
ENG WNPL,no,,,,
ENG WPR,no,,,,
ENG WPR LC,no,,,,
ENG YFAC,no,,,,
ENG-N PR,no,,,,
ENG-S CE,no,,,,
ENG-S PR,no,,,,
ENL Cup,no,,,,
ENLW,no,,,,
EST CUP,no,,,,
EST D1  ,est_meistriliiga,,,,
EST D2,no,,,,
EST D2off,no,,,,
EST D3,no,,,,
EST D3off ,no,,,,
EST SC     ,no,,,,
EST U19 ,no,,,,
EST WD2,no,,,,
EST WD2CP,no,,,,
EST WD2DA,no,,,,
ETH PR,no,,,,
ETH WL,no,,,,
EU-WU17,no,,,,
EURO Cup ,europe_ec,,,,
EWSL,no,,,,
Est WT,no,,,,
Estonia cup (w),no,,,,
Ethiopia C,no,,,,
Ethiopia HL,no,,,,
Europe CEC,no,,,,
FA Vase  ,no,,,,
FAR Cup,no,,,,
FAR D1  ,fro_effodeildin,,,,
FAR D2,no,,,,
FAR WD1,no,,,,
FAR WSC,no,,,,
FFSA NZL,no,,,,
FFSA PL ,no,,,,
FFSA SL2,no,,,,
FFSA SLR ,no,,,,
FFSA WPL ,no,,,,
FFSA WR  ,no,,,,
FFV Cup ,no,,,,
FIFA WCQL ,wc_asia,,,,
FIJ NL ,no,,,,
FIN CU20  ,no,,,,
FIN CUP  ,no,,,,
FIN D1 ,fin_veikkausliiga,,,,
FIN D1Rf ,fin_relegation-playoff,,,,
FIN D2,no,,,,
FIN D2CG,no,,,,
FIN D2off,no,,,,
FIN D3 AA,no,,,,
FIN D3 AAR,no,,,,
FIN D3 AB,no,,,,
FIN D3 ABP,no,,,,
FIN D3 AC,no,,,,
FIN D3 ACP,no,,,,
FIN D3 ACR,no,,,,
FIN D3 AD,no,,,,
FIN D3 Aoff,no,,,,
FIN LC,no,,,,
FIN WD1  ,no,,,,
FIN WD1CG,no,,,,
FIN WD1R,no,,,,
FIN WD1RF,no,,,,
FIN WD2,no,,,,
FIN YCUP   ,no,,,,
FIN YKW ,no,,,,
FINWC ,no,,,,
FRA D1,fra_ligue-1,,,,
FRA D2 ,fra_ligue-2,,,,
FRA D2Off,fra_ligue-2_playoff,,,,
FRA D3  ,fra_national,,,,
FRA D4A,no,,,,
FRA D4B,no,,,,
FRA D4C,no,,,,
FRA D4D ,no,,,,
FRA D5,no,,,,
FRA FCC  ,no,,,,
FRA SC,no,,,,
FRA U19A,no,,,,
FRA U19B,no,,,,
FRA U19C,no,,,,
FRA U19D,no,,,,
FRA U19off ,no,,,,
FRA WD1,no,,,,
FRA WD2,no,,,,
FRA WL U19,no,,,,
FRAC ,no,,,,
FRAC U19  ,no,,,,
Fiji cup ,no,,,,
Finland K,no,,,,
GC,no,,,,
GCC,no,,,,
GDHKCUP,no,,,,
GEO C,no,,,,
GEO D1 ,geo_erovnuli-liga,,,,
GEO D2,no,,,,
GEO D2RF  ,no,,,,
GEO SC ,no,,,,
GER BL,no,,,,
GER Bbe,no,,,,
GER D1  ,ger_bundesliga,,,,
GER D2  ,ger_2-bundesliga,,,,
GER D3  ,ger_3-liga,,,,
GER D5,no,,,,
GER JB2nd A1,no,,,,
GER JB2nd A4,no,,,,
GER JB2nd B3,no,,,,
GER JB2nd B4,no,,,,
GER JBA ,no,,,,
GER JBB,no,,,,
GER JBC,no,,,,
GER JBD ,no,,,,
GER JBE,no,,,,
GER JBF ,no,,,,
GER JBG ,no,,,,
GER JBH ,no,,,,
GER LS,no,,,,
GER OBW,no,,,,
GER Reg W ,no,,,,
GER RegB ,ger_regionalliga-bayern,,,,
GER RegN  ,ger_regionalliga-nord,,,,
GER RegNE,ger_regionalliga-nordost,,,,
GER RegPPO ,ger_regionalliga_promotion,,,,
GER RegS ,ger_regionalliga-suedwest,,,,
GER RegW ,ger_regionalliga-west,,,,
GER SHL,no,,,,
GER SHLJ,no,,,,
GER U17,no,,,,
GER U17N,no,,,,
GER U17W,no,,,,
GER U19N,no,,,,
GER U19S  ,no,,,,
GER U19W,no,,,,
GER U19off ,no,,,,
GER WD1,no,,,,
GER WD2,no,,,,
GERC,no,,,,
GERJBC ,no,,,,
GERWC   ,no,,,,
GFA D2    ,no,,,,
GFA FFC,no,,,,
GFA PR  ,no,,,,
GGE,no,,,,
GHA D1,no,,,,
GHA D1 W,no,,,,
GHA SC,no,,,,
GHA WFAC,no,,,,
GIB Cup,no,,,,
GIB PD  ,gib_premier-divison,,,,
GML CUP,no,,,,
GMR U19 ,no,,,,
GRE CW ,no,,,,
GRE Cup,no,,,,
GRE D1 ,gre_super-league,,,,
GRE D1CG ,gre_super-league_championship,,,,
GRE D1RF ,gre_super-league_relegation,,,,
GRE D1off,gre_super-league_ecl-playoffs,,,,
GRE D2,no,,,,
GRE D2,no,,,,
GRE D2N,no,,,,
GRE D2PPO ,no,,,,
GRE D2PPO A ,no,,,,
GRE D2PPO B,no,,,,
GRE D2RF  ,no,,,,
GRE D2RF A,no,,,,
GRE D2RF B,no,,,,
GRE D2S,no,,,,
GRE D3,no,,,,
GSLW,no,,,,
GUA D1,no,,,,
GUA D1(a),no,,,,
GUA D1AF ,no,,,,
GUA D1QF,no,,,,
GUA D1a ,no,,,,
GUA D1asf,no,,,,
GUA D1off ,no,,,,
GUA D2,no,,,,
GUA D4,no,,,,
GUA LNW,no,,,,
GUA RL,no,,,,
Geo L3,no,,,,
Ger-V,no,,,,
Germany BL,no,,,,
GermanyY U19 P ,no,,,,
Ghana D1,no,,,,
Ghana D2,no,,,,
Ghana FA C,no,,,,
Gre Atr Cup,no,,,,
Greece U19,no,,,,
Greece U19 Cup,no,,,,
HK D1,no,,,,
HK D2,no,,,,
HK D2BG,no,,,,
HK D3,no,,,,
HK PR,no,,,,
HK SS ,no,,,,
HK U22L,no,,,,
HK WPR ,no,,,,
HKEC,no,,,,
HKFA CUP,no,,,,
HKFAJD CUP ,no,,,,
HOL Cup,no,,,,
HOL D1 ,ned_eredivisie,,,,
HOL D2 ,ned_eerste-divisie,,,,
HOL D3,no,,,,
HOL D3Off ,no,,,,
HOL D3off ,no,,,,
HOL RE,no,,,,
HOL WD1,no,,,,
HOLC ,no,,,,
HON D1,no,,,,
HON D1(a),no,,,,
HON D1(c),no,,,,
HON D1AF,no,,,,
HON D1AP  ,no,,,,
HON D1a,no,,,,
HON D1asf,no,,,,
HON D1off,no,,,,
HON LDA,no,,,,
HOR L,no,,,,
HUN Cup ,no,,,,
HUN D1  ,hun_nb-i,,,,
HUN D2E,no,,,,
HUN D2E W,no,,,,
HUN D3E,no,,,,
HUN U19A,no,,,,
HUN U19B,no,,,,
HUN WCup ,no,,,,
HUN WD1,no,,,,
HY Cup ,no,,,,
HY U19,no,,,,
Honduras C,no,,,,
IBT Cup  ,no,,,,
ICE CU19 ,no,,,,
ICE CUP ,no,,,,
ICE D1     ,isl_1-deild,,,,
ICE D2  ,no,,,,
ICE LC  ,no,,,,
ICE LCB ,no,,,,
ICE LCC ,no,,,,
ICE LD1 ,no,,,,
ICE LD2,no,,,,
ICE LLC ,no,,,,
ICE PR ,isl_urvalsdeild,,,,
ICE PSC,no,,,,
ICE U19L,no,,,,
ICE WC ,no,,,,
ICE WLC    ,no,,,,
ICE WPR,no,,,,
ICE WPRCG,no,,,,
ICFD-2 ,no,,,,
ICL-2,no,,,,
ICP 4,no,,,,
ICPD D1,no,,,,
IDN ISL,no,,,,
IDN ISLCS,no,,,,
IDN L2,no,,,,
IDN PC,no,,,,
ILC ,no,,,,
IM SD,no,,,,
IME L1,no,,,,
IMS L  ,no,,,,
IMS WL ,no,,,,
IND BLR SD,no,,,,
IND CW   ,no,,,,
IND D1 ,no,,,,
IND D2 ,no,,,,
IND DLW,no,,,,
